FlightNum,FlightCompany,Origin,Destination,TakeOffAt,ArriveAt,FlightTime,CraftCompany,Airplane
1,AC,YYZ,HND,13:35:00,16:55:00,13:20:00,Boeing,777-300ER
1,LH,HAM,FRA,06:00:00,07:10:00,01:10:00,Airbus,A321
1,SQ,SFO,HKG,00:05:00,07:00:00,14:55:00,Boeing,777-300ER
1,UA,SFO,SIN,22:40:00,08:00:00,17:20:00,Boeing,787-9
2,AC,HND,YYZ,18:50:00,16:50:00,12:00:00,Boeing,777-300ER
2,LH,FRA,HAM,06:30:00,07:35:00,01:05:00,Airbus,A321
2,SQ,HKG,SFO,23:40:00,19:40:00,12:00:00,Boeing,777-300ER
2,UA,SIN,SFO,10:00:00,08:35:00,14:35:00,Boeing,787-9
3,AC,YVR,NRT,13:45:00,16:40:00,09:55:00,Boeing,787-9
3,LH,HAM,FRA,06:20:00,07:30:00,01:10:00,Airbus,A321
4,AC,NRT,YVR,18:40:00,10:20:00,08:40:00,Boeing,787-9
4,LH,FRA,HAM,07:00:00,08:05:00,01:05:00,Airbus,A321
4,UA,LHR,IAH,13:35:00,18:15:00,10:40:00,Boeing,777-200
5,LH,HAM,FRA,07:00:00,08:10:00,01:10:00,Airbus,A321
5,UA,IAH,LHR,20:15:00,11:15:00,09:00:00,Boeing,777-200
6,LH,FRA,HAM,08:00:00,09:05:00,01:05:00,Airbus,A321
6,UA,NRT,IAH,17:15:00,14:00:00,11:45:00,Boeing,777-200
7,AC,YVR,HKG,12:10:00,17:50:00,13:40:00,Boeing,787-9
7,LH,HAM,FRA,07:30:00,08:40:00,01:10:00,Airbus,A321
7,UA,IAH,NRT,10:00:00,15:10:00,14:10:00,Boeing,777-200
8,AC,HKG,YVR,20:00:00,15:35:00,11:35:00,Boeing,787-9
8,LH,FRA,HAM,09:00:00,10:05:00,01:05:00,Airbus,A321
8,LX,ZRH,ORD,13:20:00,16:25:00,10:05:00,Airbus,A330-300
8,UA,CTU,SFO,11:20:00,08:00:00,12:40:00,Boeing,787-8
9,LH,HAM,FRA,08:30:00,09:40:00,01:10:00,Airbus,A321
9,LX,ORD,ZRH,19:20:00,11:00:00,08:40:00,Airbus,A330-300
9,UA,SFO,CTU,23:25:00,05:55:00,14:30:00,Boeing,787-8
11,LH,HAM,FRA,09:00:00,10:10:00,01:10:00,Airbus,A321
11,SQ,LAX,NRT,15:15:00,20:00:00,11:45:00,Boeing,777-300ER
12,AC,PVG,YUL,18:15:00,18:45:00,13:30:00,Boeing,787-8
12,LH,FRA,HAM,11:00:00,12:05:00,01:05:00,Airbus,A321
12,SQ,NRT,LAX,18:30:00,11:30:00,10:00:00,Boeing,777-300ER
13,LH,HAM,FRA,10:00:00,11:10:00,01:10:00,Airbus,A321
14,LH,FRA,HAM,12:00:00,13:05:00,01:05:00,Airbus,A321
14,LX,ZRH,JFK,12:55:00,16:05:00,09:10:00,Airbus,A330-300
14,UA,EWR,LHR,18:45:00,06:55:00,07:10:00,Boeing,767-300
15,AC,YYZ,HKG,10:00:00,14:45:00,15:45:00,Boeing,777-300ER
15,LH,HAM,FRA,11:00:00,12:10:00,01:10:00,Airbus,A321
15,LX,JFK,ZRH,21:10:00,10:50:00,07:40:00,Airbus,A330-300
15,UA,LHR,EWR,10:15:00,13:45:00,08:30:00,Boeing,767-400
16,AC,HKG,YYZ,16:30:00,18:20:00,14:50:00,Boeing,777-300ER
16,LH,FRA,HAM,13:00:00,14:05:00,01:05:00,Airbus,A321
16,LX,ZRH,JFK,09:50:00,13:00:00,09:10:00,Airbus,A330-300
16,UA,EWR,LHR,21:20:00,09:30:00,07:10:00,Boeing,767-400
17,AC,YVR,TPE,11:35:00,16:30:00,12:55:00,Boeing,787-9
17,LX,JFK,ZRH,18:25:00,08:05:00,07:40:00,Airbus,A330-300
17,UA,LHR,EWR,12:00:00,15:25:00,08:25:00,Boeing,767-300
18,AC,TPE,YVR,18:00:00,12:25:00,10:25:00,Boeing,787-9
18,LH,FRA,HAM,14:00:00,15:05:00,01:05:00,Airbus,A321
18,LX,ZRH,EWR,17:15:00,20:25:00,09:10:00,Airbus,A330-300
18,UA,MXP,EWR,10:25:00,14:00:00,09:35:00,Boeing,767-300
19,LH,HAM,FRA,13:00:00,14:10:00,01:10:00,Airbus,A321
19,LX,EWR,ZRH,22:05:00,11:40:00,07:35:00,Airbus,A330-300
19,UA,EWR,MXP,18:30:00,08:25:00,07:55:00,Boeing,767-300
20,LH,FRA,HAM,15:00:00,16:05:00,01:05:00,Airbus,A321
20,UA,IAH,AMS,16:05:00,08:15:00,09:10:00,Boeing,777-200
21,LH,HAM,FRA,14:00:00,15:10:00,01:10:00,Airbus,A321
21,SQ,EWR,SIN,09:45:00,17:15:00,18:30:00,Airbus,A350-900
21,UA,AMS,IAH,10:20:00,14:10:00,10:50:00,Boeing,777-200
22,LH,FRA,HAM,16:00:00,17:05:00,01:05:00,Airbus,A321
22,LX,GVA,JFK,11:40:00,14:40:00,09:00:00,Airbus,A330-300
22,SQ,SIN,EWR,00:40:00,05:30:00,17:50:00,Airbus,A350-900
22,UA,DUB,EWR,09:00:00,11:30:00,07:30:00,Boeing,777-200
23,LH,HAM,FRA,15:00:00,16:10:00,01:10:00,Airbus,A321
23,LX,JFK,GVA,19:45:00,09:20:00,07:35:00,Airbus,A330-300
23,UA,EWR,DUB,19:35:00,07:00:00,06:25:00,Boeing,777-200
24,LH,FRA,HAM,17:00:00,18:05:00,01:05:00,Airbus,A321
25,AC,YVR,PVG,12:00:00,16:00:00,12:00:00,Boeing,787-9
25,LH,HAM,FRA,16:00:00,17:10:00,01:10:00,Airbus,A321
25,SQ,JFK,FRA,20:15:00,09:50:00,07:35:00,Airbus,A380-800
26,AC,PVG,YVR,17:50:00,12:10:00,10:20:00,Boeing,787-9
